id_review,review,title,Suma de score,Suma de service,platform,id_nick
R1000063,Las papas estaban crudas!!!,"",3,265714,googleplaces,116418690725223786218
R1000064,No hay variedad de piqueos,"",3,265714,googleplaces,102297048500160653102
R1000065,"Sin muchas colas, y buenas promociones","",5,265714,googleplaces,115407452053671713222
R1000066,Se ha perdido la calidad de la comida y su servicio ya no es elnde antes,"",1,265714,googleplaces,117764880383571631855
R1000067,Rico💕,"",4,265714,googleplaces,112128766177112575853
R1000068,Siempre lo encuentras en varios puntos .,"",4,265714,googleplaces,104678417825668363190
R1000069,Muy basico,"",2,265714,googleplaces,116862964821818110729
R100007,"Me parecio una experiencia muy buena, pero el precio me parecio un poco alto. Sin embargo, ni que decir de la comida. Muy buena. Lo recomiendo por el buen sabor de sus platos. Pero el precio deberían de regularlo un poco mas de acuerdo a los platos.",UN POCO MAS,3,40012,tripadvisor,ar0ld_123
R1000070,Regular,"",2,265714,googleplaces,116812214342039057632
R1000071,Bien,"",3,265714,googleplaces,109361868549053945400
R1000072,Sabroso,"",4,265714,googleplaces,110221733483970463288
R1000073,Por el karaoke no por el pollo,"",3,265714,googleplaces,112889410487058491436
R1000074,Bueno,"",3,265714,googleplaces,111151966140301176884
R1000075,Buenazo,"",5,265714,googleplaces,110068190200179409096
R1000076,Muy Rico,"",5,265714,googleplaces,114799102722101894542
R1000077,Regular,"",3,265714,googleplaces,102503952276131422465
R1000078,Buena..,"",5,265714,googleplaces,117009716587704958511
R1000079,Algo,"",4,265714,googleplaces,109711794061720343022
R100008,"El sitio es acogedor, habló del local de Miraflores, la atención es buena. Se puede ir en familia hay menú para niños. Los precios son razonables, el sabor de los anticuchos muy buenos, así como las ensaladas. No me gustaron las alitas a la parrilla, pero todo lo pedido estaba delicioso.",Formidable elección,5,40012,tripadvisor,ladimirP362
R1000080,Es bueno pero lo q le falta es la mejora de la ensalada,"",5,265714,googleplaces,117612811922053675711
R1000081,el.pollo estaba con sangrecita no muy cocinado,"",3,265714,googleplaces,102709835142961844387
R1000082,Delicioso,"",4,265714,googleplaces,116027693076374628220
R1000083,Han mejorado su servicio,"",4,265714,googleplaces,114850408155253736325
R1000084,Más menos el pollo estaba crudo,"",3,265714,googleplaces,111934857834065292072
R1000085,Hay nuevas promociones. Hay chancho al palo también,"",2,265714,googleplaces,106009520065900676159
R1000086,Bueno,"",5,265714,googleplaces,104618954276925783789
R1000087,"bueno, pero no es el mejor, creo","",4,265714,googleplaces,114258258288808897604
R1000088,Bueno,"",4,265714,googleplaces,100216609109206680856
R1000089,El salad bar libre,"",4,265714,googleplaces,104770263031932116944
R100009,"No sé si el local de Miraflores está mejor pero fuimos al de Villarán y estaba repleto, así que pedimos para llevar. La espera fue larga y casi nos dan el pedido incompleto.Las papas fritas estaban con aceite recalentado, los anticuchos de hígado y corazón de pollo tenían como cuatro hígados y solamente dos corazoncitos, la ensalada ni la probamos porque no provocaba. Los anticuchos de corazón de res en buen envase pero nada espectacular.Lo único rescatable es los textos de las pizarras y la amabilidad de la anfitriona.",No era lo que decían,2,40012,tripadvisor,lisatraveller13
R1000090,Malo el Pollo aguado muy sancochado,"",1,265714,googleplaces,105683047745613124928
R1000091,Demora mucho y hay bastante gente,"",4,265714,googleplaces,105366920703270910676
R1000092,Bueno,"",4,265714,googleplaces,105492186317979123524
R1000093,El mejor pollo del Peru,"",5,265714,googleplaces,108923484598615446816
R1000094,Bonito lugar,"",4,265714,googleplaces,112868985703351437789
R1000095,Excelente,"",5,265714,googleplaces,111332962516342680430
R1000096,Bueno.,"",3,265714,googleplaces,106398793867671407911
R1000097,Local que atiende hasta altas horas de la noche para saciar el hambre nocturno.,"",4,265714,googleplaces,101380990303123575602
R1000098,"Buen restaurante, atención excelente","",4,265714,googleplaces,102795822865918449546
R1000099,Comida regular y cada vez menos cantidad.,"",2,265714,googleplaces,105832779569739482262
R100010,"Es el mejor pollo lejos, buenas papas y buena ensalada, todo bien presentado, los anticuchos muy ricos. Me gusta el pollo a la brasa nuevamente.Los picarones decepcionaron. La unica falla. Deben de revisar la receta. Son toscos, demasiada masa y les falta anis. La miel estaba buena.Voy a regresar mil veces.",Una sorpresa,4,40012,tripadvisor,ntoine68
R1000100,No son muy explicitos,"",3,265714,googleplaces,102700721147289441945
R1000101,Se demoran en la atención 😑,"",3,265714,googleplaces,115428708989302536717
R1000102,Pesima atencion,"",1,265714,googleplaces,110298499438967562131
R1000103,Bueno me encantó la atención,"",5,265714,googleplaces,101560148392022562287
R1000104,Buenazo,"",5,265714,googleplaces,109000193059142594539
R1000105,"Atienden en cuanto ocupas una mesa, son cordiales, la comida tiene buena preparación, no se espera mucho tiempo lo que pides.","",4,265714,googleplaces,115778621197596775648
R1000106,El Tacutacu con Lomo Saltado de Dioses!,"",5,265714,googleplaces,116500738630055907531
R1000107,Rico pollito,"",5,265714,googleplaces,111681610408971468690
R1000108,Pollos y parrillas.,"",4,265714,googleplaces,117540403150127253008
R1000109,Los baños son estrechos y un poco más de orden en los pedidos.,"",3,265714,googleplaces,114820251909282091510
R100011,"He visitado ya varias veces el local de Miraflores y me parece un buen lugar para comer y conversar con tranquilidad. El local es amplio y muy agradable. La comida muy buena. Recomiendo el choclo con queso, el pollo a la brasa y los anticuchos. Los ajies que acompañan aportan también.",Muy buen ambiente,4,40012,tripadvisor,ario S
R1000110,Las carnes y parrillas no es su especialidad. Demora en la atencion,"",1,265714,googleplaces,101769878496220676029
R1000111,Almuezo,"",5,265714,googleplaces,100817330815732328716
R1000112,Rico pollo,"",4,265714,googleplaces,103484978768322297427
R1000113,Amplio salad bar,"",5,265714,googleplaces,115406304241260789486
R1000114,Su parrilla para dos,"",5,265714,googleplaces,103813183037299965319
R1000115,"Malísima...mi pedido lo hice a las 2:45, lo confirmaron a las 3:45  y hasta ahora no ha llegado mi pollo.","",1,265714,googleplaces,106454249312078987193
R1000116,Dms rico,"",5,265714,googleplaces,111633739945031577040
R1000117,El pollo es bueno y sabroso. El servicio también es bueno.,"",5,265714,googleplaces,114200105343131081191
R1000118,Muy buena ensalada de verduras cocidas y filete de pollo. Excelente y limonada sin azúcar como pedí. Buen Servicio y Precios. Almuerzo muy saludable.,"",4,265714,googleplaces,115891342558253202638
R1000119,Excelente comida y servicio .. mobiliario y personal moderno y acogedor .. buena calidad precio,"",5,265714,googleplaces,117753513141644824272
R100012,"La decoración es espectacular y el anticucho delicioso! El servicio también es muy bueno, los meseros amables y atentos!",Amé la chicha morada frozen,4,40012,tripadvisor,na G
R1000120,Fui a comer pollo y fue maravilloso.,"",4,265714,googleplaces,111955399516559904288
R1000121,Excelente establecimiento con excelente comida y precios razonables. Gran buffet de ensaladas.,"",4,265714,googleplaces,113018238565997167857
R1000122,Muy buen pollo con todos los adornos! Buena relación calidad-precio!,"",5,265714,googleplaces,110431557011786562798
R1000123,Exxcelente =),"",5,265714,googleplaces,109314889105858176430
R1000124,Maloo,"",2,265714,googleplaces,111264744462614856287
R1000125,OK,"",5,265714,googleplaces,105836625556728562356
R1000126,OK,"",3,265714,googleplaces,109173311388843199939
R1000127,Okis,"",5,265714,googleplaces,108082670480739084610
R1000128,Buenooo,"",3,265714,googleplaces,100231074684978758196
R1000129,OK,"",5,265714,googleplaces,110480291800977948625
R100013,"Descomplicado y sin mayor ambiciones, pero su comida es muy rica y bien preparada. Me encantaron las entradas todo lo que pedimos estaba delicioso.Plato fuerte un lomo a la parrilla en su punto y acompañado de una ensalada.Me encantó la ambientación, simulando u mercado, muy original.El servicio podría mejorar, pero no puedo decir que fue malo.Definitivamente volveré",Rico y divertido,5,40012,tripadvisor,aria Jose S
R1000130,OK,"",3,265714,googleplaces,109496514524007045231
R1000131,ricoo,"",5,265714,googleplaces,116608511741364684923
R1000132,Bonita pollería,"",3,265714,googleplaces,115171825359751049707
R1000133,me gustó,"",4,265714,googleplaces,112379221407378906965
R1000134,Perfecto.!!.,"",3,265714,googleplaces,115404159641381667908
R1000135,¡¡¡¡Barra de ensaladas!!!!,"",4,265714,googleplaces,109325557066215410706
R1000136,Ben aji,"",5,265714,googleplaces,102437140529175346289
R1000137,Rico,"",4,265714,googleplaces,102139717089361627296
R1000138,Muy bien,"",5,265714,googleplaces,101259325608926936373
R1000139,pollería,"",3,265714,googleplaces,115336781168008206539
R100014,"Llegamos por casualidad, el local abrió en agosto del 2013, por lo que está en muy buenas condiciones. La carta no es un extensa pero bien escogida, con platos abundantes y buenos acompañamientos. No es tan caro, un lomo a la parrilla cuesta 35 soles y un pollo a la parrilla 18, un pisco sour doble cuesta 20 soles. Súper Recomendable si no se piensa en un restaurante de mantel largo",Rica comida en un buen ambiente,5,40012,tripadvisor,etroriano
R1000140,Rikoooo,"",5,265714,googleplaces,103806787889556974822
R1000141,Buena comida.,"",4,265714,googleplaces,101541204398540503739
R1000142,¡bueno!,"",3,265714,googleplaces,111731006539240229714
R100015,"Han remodelado el retaurante. Los anticuchos son buenasos y el pollo a la brasa es el mejor! Podrian tener un local mas grande, se que estaría lleno. Felicitaciones!!!",Buenaso,4,40012,tripadvisor,anvelezc
R100016,"A pesar que los anticuchos son tradicionalmente preparados y vendidos en la calle, este restaurante ha logrado posicionarse como una de las mejores opciones para comerlos sentados en una mesa y con cubiertos.El local ofrece una carta corta con sus anticuchos y algunas opciones de pollo a la brasa.El sabor de los anticuchos es suave igual que la carne, pueden mejorar si tuvieran entre las salsas la conocida anticuchera con su aji picoso, vinagre y cebollita china, la crema de aji que ofrecen le cambia el sabor tradicional.Una buena opción para los que quieren probar anticuchos en restaurante.",Buen restaurante de anticuchos,4,40012,tripadvisor,runo B
R100017,"La comida es increible , el lugar para lleno de gente pero la atencion es rapida y buena, la comida es buenisima y super fresca , el anticucho, el pollo a al brasa con el tipico sabor del rancho (de benavides) es igualitooo , las papas fritas increibles, la ensalada y las salsa, alucinantes, de verdad me quede impresionado por eso para full!! 100% recomendable",Excelente todo!!!!!,5,40012,tripadvisor,iordyLIma
R100018,Es pequeño pero para full. Los típicos anticuchos son muy ricos. El precio es módico. es un local simple pero la atención es rápida,"Antichos ricos, rápida atención , también venden pollo a la brasa",3,40012,tripadvisor,ELYUX
R100019,"Los anticuchos son buenos no guau, para la cantidad de palitos que te sirven el precio es caro y la atención deja que desear, les falta organización y un poco más de buena atención",Anticuchos,3,40012,tripadvisor,eanette D
R100020,"""La Panka"" me decepcionó cuando me confirmaron que usaban aceite guardado de mas de 7 días, para freir sus papas. Y cuando hice mi comentario en Facebook,.... lo borraron, en lugar de disculparse. Me decepcionaron :(",Usan aceite guardado de 7 dias para freir papas,2,40012,tripadvisor,omell Fernando T
R100021,"Llegamos en un grupo de 8 personas, nos sentamos en el segundo piso y pedimos anticuchos, asador, salchipapas chichen, setas, chichen alas, chica, etc. Anticuchos eran muy buenas, sabrosas. Algunos de nosotros pedimos ""bien hecho"", algunos ""tamaño"" lacomida era buena. Grandes porciones de un f buen sabor. El lugar estaba lleno y el aire acondicionado no funcionaba, creo yo, porque todos estaban sudando.Servicio de atención al cliente es buena",Bueno anticuchos!!,4,40012,tripadvisor,ejiruiz
R100022,"Sin duda necesitas probar tanto los Anticuchos y pollo asado mi marido es un fanático del pollo asado y cada vez que viajo a Perú tenemos que visitar La Panka. Sin duda, tenéis que visitar el restaurante ubicado en Villaran.",Anticuchos y pollo asado!,4,40012,tripadvisor,abriela M
R100023,"Una red de restaurantes, famoso por su cocina peruana. Vale la pena ir porque de postres peruanos y bebidas (maíz negro! ). Pasar un largo tiempo puede ser difícil debido a sillas incómodas.",Comida local y postres locales.,4,40012,tripadvisor,tanislaw1972
R100024,"El domingo, el primer día de nuestro viaje en grupo, almorzamos en La Panka. Había muchas opciones coloridas y sabrosas ensaladas y sopas a de tamales y algunos platos que probé por primera vez. Allí eran bailarines peruanos en vestimenta auténtica delicia para nosotros, ya que cenamos. El único inconveniente para mí es que me robaron el bolso cuando entré de nuestra mesa por un breve espacio de tiempo. No hace falta decir que uno debe ser excepcionalmente cuidado con posesiones personales.",Buena variedad de platos auténticos y locales.,4,40012,tripadvisor,indy64
R100025,"El restaurante está situado justo enfrente del océano Pacífico, es un bonito lugar cómodo. Tienen toda la variedad de la cocina peruana de beber chicha morada, para tamales. Tienes que ir a probar el los Anticuchos (de vaca corazón) NUNCA he probado y ¡una experiencia que pedir otro plato cuando termine. También el típico ""Pollo a la brasa"" (pollo a la parrilla) que si creo que te has probado u ha mentido, ir y pedir y experiencia del verdadero sabor del Pollo a la brasa. No puedo ir sin mencionar los postres, tienes que probarlas, queso helado y el famoso PICARONES peruanos, a ordenar y luego darme las gracias hahahaa",Una experiencia gastronómica esperando a suceder!!,5,40012,tripadvisor,huert
R100026,"Esta tarde me dieron limonada fría y ""picarones"" (ver mi crítica de picarones El Mercado sobre cómo están hechas). Lo mejor es la vista sin obstáculos del océano, el segundo es un enorme aparcamiento gratuito para la calle 1 horas, pero el mejor era un gran parque infantil para niños con mesas de al lado.Por cierto, yo estaba alrededor de las 6pm, un montón de mesas gratis y un excelente atardecer",A media tarde dulce,4,40012,tripadvisor,arid_Matuk
R100027,"Nos trajeron aquí por nuestro grupo para la cena. Lomo Saltado tuve el, que era muy bueno. Pero para las vieiras parmesano tenía por un arranque, el queso abrumados las vieiras que apenas podía probar. En general, la comida era un poco salado. Ponen una agradable actuación de danza folclórica durante nuestra comida.",Buen lugar para cenar,3,40012,tripadvisor,rovidence_RITom
R100028,"Pedimos Pollo (pollo) para mí y un amigo, porciones vienen en 1, 1/2 y 1/4 de pollo. 1/2 es suficiente para dividir por dos, patatas fritas y ensalada de curvas complementarias. Tanto con leve sabor excelente sabor barbacoa y corteza, bien cocinada por dentro. El servicio fue excelente, los camareros muy rápido y amable. 4 estrellas debido a alto precio de bebidas y postres. Decidimos ir a una panadería de alta gama con mismos precios pero mucho mejor opción para satisfacer a nuestros golosos.",Buen pollo asado,4,40012,tripadvisor,lazisB
R100029,"El servicio es muy rápido, la comida es muy buena y buenos precios!!. He sido allí con una familia de 8 y desde que pedimos y la comida estaba en la mesa para cada uno de unos 15 minutos",Buenos servicios,5,40012,tripadvisor,cht4ever
R100030,"Gran servicio, excelente comida! Pedimos la parrilla que incluye un poco de todo, las patatas dulces fritas y picarones (no dejar sin tratar estas Perú!).",Gran Parrilla peruana!,5,40012,tripadvisor,ofiaMojica
R100031,"Fuimos a almorzar un domingo, no hay problemas para conseguir una buena mesa, aunque el lugar estaba lleno. El servicio era genial, nuestro camarero era muy servicial.Ahora estaban deliciosos!... anticuchos También pedimos el maíz y fue un éxito! Para el postre teníamos picarones, el mejor que he tenido en mucho tiempo!Es un restaurante clave pero vale la pena visitar!",¡Delicioso!,4,40012,tripadvisor,arociito
R100032,Durante unas vacaciones en Lima disfrutamos todos los entrantes ordenados de pescado al pollo. También había una opción para mi hermana que es vegetariano . fue la comida favorita de mi marido mientras en Lima y volvió para una comida para llevar más tarde durante la semana.,Deliciosa comida,5,40012,tripadvisor,iresmoke
R100033,"El más nos gustó fue el local y es el ambiente (pequeño y acogedor espacio) y el servicio. La Panka se suponía que forma parte de la comida tradicional peruana; por desgracia, el sabor de la comida era lo suficientemente lejos del estilo peruano típico. Pedimos alitas de pollo a la parrilla, anticuchos, un Secondo Pollo a la brasa (no estaba preparado en el momento justo templada) y beber ""emoliente"". Además, las salsas de chile casi dulce y sin condimentos",No es tan bueno como promovido o esperado. No es comida típica peruana,2,40012,tripadvisor,estor G
R100034,"Si buscas un lugar para probar algunos de los platos peruanos típicos, este es un buen restaurante en el que puede activar la opción ""anticuchos"". Estas son pinchos que contengan corazón de carne a la parrilla y marinado / sartén. Utilizan especias especiales que le dan un sabor muy característico y increíblemente deliciosa. Los anticuchos en Panka eran de los mejores que he probado (crecí en Perú como un niño y comí mi cuota de anticuchos con los años). Estos normalmente se sirve con una orden de papas a la parrilla, patatas fritas y/o de maíz. Normalmente hay 1-3 salsas picantes en el lado distintos """" grado caliente, desde algo picante (normalmente una salsa mayonesa) bastante picante (el ají rocotto).Para aquellos menos valientes para probar algo como ""atrevido"" como anticuchos, Panka sirve muy buena pollo de rosticería.En resumen? Si uno está en un aventurero tiene ganas de probar uno de los famosos platos Perú, anticuchos, o simplemente quieres comer un muy bueno y jugoso pollo a la parrilla, Panka es para ti y vale la pena el viaje en coche / taxi.",Primera clase Anticuchos - Una especialidad peruana!!!,4,40012,tripadvisor,Cubillas
R100035,"Probamos la ubicación que está a lo largo del Océano Pacífico en el Barranco. Nos sentamos en el patio exterior que está protegida del viento por altas paredes de vidrio. Era un lugar agradable para disfrutar de la excelente comida.Compartimos un medo brasas de pollo que venía con ensalada y¡ ¡complejo. Todo fue excelente y había suficiente comida para dos personas.También tuvimos pisco sours fantásticos antes de la comida, y tengo que decir que me gustó mucho las Pisco sours fantásticos. Nos pareció que eran de los mejores que hemos tenido en Lima.Sin embargo en mi próxima visita a Lima.",Excelentes Pisco pisco y Secondo Pollo Brasa,4,40012,tripadvisor,obert W
R100036,"Menú sencillo con todos los clásicos peruanos. Siga recto hasta el punto!Uno de los lugares para comer ""Anticuchos"" ! Es fácil ir ambiente, y hay mucho donde elegir. El servicio es rápido y puede llamar su camarero cuando estés preparado por un dispositivo electrónico en la mesa.","Gran lugar para ""Anticuchos"" ! corazones los Bulls!",4,40012,tripadvisor,wiss_traveler_70
R100037,"Nuestra última comida en Perú, así que nos encontramos este restaurante situado a lo largo de la costa del Pacífico.El Pisco pisco es de lo mejor, seguido de comida verdaderamente increíble!!!El servicio es excelente y muy amable. Lo recomiendo sin duda.",Panka de La,5,40012,tripadvisor,ane B
R100038,"He estado viajando en taxi en unas cuantas ocasiones y he pasado este lugar que parecía interesante. Un día que hicimos planes para hacer un viaje especial en taxi a Surquillo y probarlo. Llegué y me recibió con un personal amable y estaba sentado. A pesar de que son conocidos por su pollo me apetecía salmón, así que pedí que. El salmón con verduras asadas era delicioso y yo disfrutamos de lo que tenía. El pollo tenía buen aspecto la gente junto a mí estaban disfrutando pero tengo que volver y probar, otro día. Si alguna vez en la zona, diría que este es un buen lugar para parar a almorzar o cenar.",La Panka Surquillo,4,40012,tripadvisor,lewis564
R100039,"Los mejores Anticuchos de Lima!! Buenas opciones para picar y cerveza.U conseguimos dar una prueba, mejor Anticuchos en la ciudad, genial para amigos y cerveza, deliciosos postres!","Los mejores Anticuchos, los mejores Anticuchos en la ciudad",4,40012,tripadvisor,orgeaD5027NX
R100040,"Fuimos a La Panka en una recomendación de un local ... Tenía los anticuchos, maíz, patatas, chili's, etc. Ambos disfrutamos mucho la comida, pero el destacado de la visita era el chico joven que asistieron a nuestra mesa (lo siento se olvidó de su nombre) ... Él era muy atento y bien informado. Nos gustó el timbre en la mesa que 'te dejen entrar' en su pulsera identificatoria ... que te facilita el servicio rápido. Volvería sin dudarlo.","Gran servicio, excelente comida",4,40012,tripadvisor,LWNarara
R100041,Se encuentra a gusto » anticuchos » ( carne de bovino corazón ) hor marinado en una salsa de estilo . Viene con patatas y una ensalada en el lado . Beber algunas emoliente y disfruta!,Almuerzo estilo peruano,5,40012,tripadvisor,arbara V
R100042,"Bien preparada anticucho (el plato estrella) y agradable ambiente (como un cruce entre la preferida y la 73).El pastel de choclo tenía poca carne. El tamal era demasiado cremosa para mi gusto y con poco sabor. Las patatas no tiene sabor. La impresionante helado era demasiado heladas, cuando debería ser cremosa. El servicio, aunque atento, estaba un poco distraído (se liaron con nuestro pedido dos veces, pero lo arreglaron bastante rápidamente).Barbacoa peruanos clásicos platos están perdiendo (choncholí, rachi, pan dulce).",No está mal,3,40012,tripadvisor,upermellowman
R100043,carne y pollo anticuchos de corazón. Ambiente agradable y servicio. La limonada también estaba muy bien.,Mejor Anticuchos en Lima,4,40012,tripadvisor,ost_Rad
R100044,"Uno de los 10 mejores ""pollos a la Brasa"" de esta ciudad. Está siempre lleno, pero usted puede llevar su comida para llevar.",Excelente pollo asado,5,40012,tripadvisor,edro Mario V
R100045,"Estábamos en la Panka Miraflores. La comida era estupenda, el servicio era genial, bebidas eran geniales, el ambiente y la ubicación es estupenda, ¿qué más se puede decir si no estábamos allí varias veces mientras estábamos en Lima.Recomendaría el pastel de choclo y anticuchos.",increíble,4,40012,tripadvisor,60marting
R100046,"Fuimos a La Panka Miraflores para almorzar y probamos los Anticuchos de corazón de res y la chicha morada congelada! La comida es excelente, el servicio es excelente, y el ambiente es agradable. Las porciones no son grandes, pero suficiente para una persona para comer bien. picarones son deliciosos! Recomendado.","Buena comida, buen ambiente!",4,40012,tripadvisor,ani_J22
R100047,Un gran lugar para probar algunos de los elementos tradicionales de almuerzo en Lima en un divertido ambiente alegre! Los precios eran razonables y la comida era genial.,almuerzo estupendo lugar,4,40012,tripadvisor,'-and-K-on-Vaca
